35196402	LCH	Langerhans cell histiocytosis
30846988	pSS	Primary Sjogren's syndrome
37013516	UPR	unfolded protein response
35191836	GEO	Gene Expression Omnibus
32913304	GSA	Genome Sequence Archive
34755601	hPSC	human pluripotent stem cell
35808901	PE	pulmonary embolism
37848618	IFNs	interferons
34206710	PcG	Polycomb group
31552044	STAT3	Signal transducer and activator of transcription 3
37120608	TMDM	transitioning MDM
39207852	Mg-A	microglia
37828454	AUC	area under the curve
39003273	HSPCs	hematopoietic stem and progenitor cells
36776842	DC	Dendritic cell
34400910	RIFA	Relative interstitial fibrosis area
38720891	ICU	intensive care unit
33525671	XIAP	X-linked inhibitor of apoptosis
36111787	a	Apical
36496442	hg38	human GRCh38. p13
30753226	WT	wild-type
38017066	CNO	Clozapine-N-oxide
31311566	IDRs	intrinsically disordered regions
36670467	TPM	transcripts per million
32268080	MACS	magnetic-activated cell sorting
36153599	PPV	Positive prediction value
34572082	TAI	Traumatic Aortic Injury
37532927	SETD1	SET Domain Containing 1
35626747	ROS	reactive oxygen species
35848799	smFISH	single-molecule fluorescence in situ hybridization
37971878	IGF2	insulin-like growth factor 2
35657505	mTSCs	mouse trophoblast stem cells
31019505	IFN	Interferon
38352879	MSCs	mesenchymal stem cells
31019505	ILC2P	ILC2-specific progenitor
34367190	SARS-CoV-2	severe acute respiratory syndrome coronavirus 2
38321214	i.p.	intraperitoneal
30814501	DAPI	4',6-diamidino-2-phenylindole
34769061	HF-KC	HF-keratinocytes
37730992	GitHub	https://github.com/yifand64/ferret_ionocyte
37314668	TIMP	Tissue inhibitor of metalloproteinase
39402379	Sst	somatostatin inhibitory
39063116	HuR	human antigen R
35191836	VT	ventrotemporal
37543704	IFN	interferon
38641668	PCA	Principal component analysis
37217935	PFA	Paraformaldehyde
39402379	CASI	cognitive scores at the last visit
37838739	ACD	Advanced Cell Diagnostics
37223013	CCK-8	Cell Count Kit-8
33752749	Ab	antibody
37085528	SOD1	SOD1(G93A) mutation
31900171	MMR	major molecular response
34294714	Gzma	Granzyme A
38510251	TNIP1	TNFAIP3-interacting protein 1
34077988	NK	NKG2D
35177643	Kdm6bf/f	Kdm6bflox/flox
35843448	TVA	tumor virus receptor A
38903914	RT	room temperature
39578914	GZMB	Granzyme B
39499736	PROM1	prominin 1
37512124	SCD	sperm chromatin dispersion assay
33857287	TPM	transcript per million
33762734	HLA	human leukocyte antigen
38037510	bp	base pair
31695783	MSC	mesenchymal stem cell
34352228	GSEA	gene set enrichment analysis
38355799	DEGs	DETFs and genes
31269016	STRT	single-cell tagged reverse transcription
31413286	PALS	Phase Analysis Light Scattering
32429316	MOTO-CARs	Macrophage Toll-like receptor-chimeric antigen receptors
36497161	VEGF	Vascular Endothelial Growth Factor
35139899	Elecsys	electrochemiluminescence immunoassays
38602594	CAFs	Cancer-associated fibroblasts
34831154	MGO	Methylglyoxal
37108631	UC	umbilical cord
36524113	GOT2	glutamate oxaloacetate transaminase 2
31295328	OVLT	organum vasculosum laminae terminalis
37443817	ADSC	adipose-derived stem cells
34831371	FDCs	Follicular dendritic cells
32639692	LMN	laminin A/C
32744501	Cx30	Connexin-30
31319592	PTEN	phosphatase and tensin homolog
30846988	SS	Sjogren's syndrome
36411459	FGF	fibroblast growth factor
34680143	TeSLA	telomere shortest length assay
37248244	OHCs	outer hair cells
34795670	ILM	internal limiting membranes
