360 nm-cone	CL:0004162
5-HT neuron	CL:0000850
5-HT secreting cell	CL:0000458
5-Hydroxytryptamine secreting cell	CL:0000458
5-hydroxytryptamine neuron	CL:0000850
510 nm-cone	CL:0004161
A Horizontal Cell	CL:0004217
A-like	CL:0002284
A2 amacrine cell	CL:0004219
A2-like amacrine cell	CL:0004229
A7 cell (Mus musculus)	CL:4023010
AB broad diffuse-1 amacrine cell	CL:0004235
AB broad diffuse-2 amacrine cell	CL:0004236
AB diffuse-1 amacrine cell	CL:0004223
AB diffuse-2 amacrine cell	CL:0004224
ACTH secreting cell	CL:0000467
AGM hematopoietic stem cell	CL:0002360
APUD cell	CL:0000568
ARC	CL:0000669
AS DC, human	CL:0017009
AV bundle cell	CL:0010005
AV nodal myocyte	CL:1000410
AV node cardiac muscle cell	CL:1000410
AV node cell	CL:1000410
Ammon's horn basket cell	CL:2000088
An1 B cell	CL:0000960
Askanazy cells	CL:0002200
Axl+ dendritic cell, human	CL:0017009
B Horizontal Cell	CL:0004218
B cell	CL:0000236
B cell of anorectum	CL:0009050
B cell of appendix	CL:0009032
B cell of appendix vermiformis	CL:0009032
B cell of marginal zone of spleen	CL:0000845
B cell of medullary sinus of lymph node	CL:0009045
B cell of vermiform appendix	CL:0009032
B cell zone reticular cell	CL:0009104
B cell, CD19-positive	CL:0001201
B effector 1 cell	CL:0000943
B effector 2 cell	CL:0000944
B effector cell	CL:0000968
B lymphocyte	CL:0000236
B lymphocyte, CD19-positive	CL:0001201
B(reg)	CL:0000969
B-1 B cell	CL:0000819
B-1 B lymphocyte	CL:0000819
B-1 B-cell	CL:0000819
B-1 B-lymphocyte	CL:0000819
B-1 cell	CL:0000819
B-1a B cell	CL:0000820
B-1a B lymphocyte	CL:0000820
B-1a B-cell	CL:0000820
B-1a B-lymphocyte	CL:0000820
B-1b B cell	CL:0000821
B-1b B lymphocyte	CL:0000821
B-1b B-cell	CL:0000821
B-1b B-lymphocyte	CL:0000821
B-2 B cell	CL:0000822
B-2 B lymphocyte	CL:0000822
B-2 B-cell	CL:0000822
B-2 B-lymphocyte	CL:0000822
B-IC	CL:4030005
B-cell	CL:0000236
B-cell of pancreatic islet	CL:0000169
B-cell, CD19-positive	CL:0001201
B-lymphoblast	CL:0017006
B-lymphocyte	CL:0000236
B-lymphocyte, CD19-positive	CL:0001201
B1 B cell	CL:0000819
B1 B lymphocyte	CL:0000819
B1 B-cell	CL:0000819
B1 B-lymphocyte	CL:0000819
B1 cell	CL:0000819
B10 cell	CL:0000969
B1a B cell	CL:0000820
B1a B lymphocyte	CL:0000820
B1a B-cell	CL:0000820
B1a B-lymphocyte	CL:0000820
B1a cell	CL:0000820
B1b B cell	CL:0000821
B1b B lymphocyte	CL:0000821
B1b B-cell	CL:0000821
B1b B-lymphocyte	CL:0000821
B1b cell	CL:0000821
B2 B cell	CL:0000822
B2 B lymphocyte	CL:0000822
B2 B-cell	CL:0000822
B2 B-lymphocyte	CL:0000822
B2 cell	CL:0000822
B220+CD38+ naive B cell	CL:0002109
B220+CD38+ naive B lymphocyte	CL:0002109
B220+CD38+ naive B-cell	CL:0002109
B220+CD38+ naive B-lymphocyte	CL:0002109
B220-low CD38-negative unswitched memory B cell	CL:0002113
B220-low CD38-positive IgG-negative class switched memory B cell	CL:0002123
B220-low CD38-positive naive B cell	CL:0002110
B220-low CD38-positive unswitched memory B cell	CL:0002116
B220-positive CD38-negative unswitched memory B cell	CL:0002112
B220-positive CD38-positive IgG-negative class switched memory B cell	CL:0002122
B220-positive CD38-positive naive B cell	CL:0002109
B220-positive CD38-positive naive B lymphocyte	CL:0002109
B220-positive CD38-positive naive B-cell	CL:0002109
B220-positive CD38-positive naive B-lymphocyte	CL:0002109
B220-positive CD38-positive unswitched memory B cell	CL:0002115
BASC	CL:0002638
BB cone bipolar cell	CL:0000761
BEST4+ colonocyte	CL:4047052
BEST4+ enteroycte	CL:4030026
BJ fibroblast	CL:1001608
BMCP	CL:0002028
BaP	CL:0000613
Be cell	CL:0000968
Be1 Cell	CL:0000943
Be2 cell	CL:0000944
Bergmann astrocyte	CL:0000644
Bergmann glial cell	CL:0000644
Bergmann glial cell of cerebellum	CL:0000644
Betz cell	CL:0008049
Betz upper motor neuron	CL:4023052
Bm1 B cell	CL:0000961
Bm1 B lymphocyte	CL:0000961
Bm1 B-cell	CL:0000961
Bm1 B-lymphocyte	CL:0000961
Bm2 B cell	CL:0000962
Bm2 B lymphocyte	CL:0000962
Bm2 B-cell	CL:0000962
Bm2 B-lymphocyte	CL:0000962
Bm2' B cell	CL:0000964
Bm2' B lymphocyte	CL:0000964
Bm2' B-cell	CL:0000964
Bm2-prime B cell	CL:0000964
Bm2-prime B-lymphocyte	CL:0000964
Bm3 B cell	CL:0000965
Bm3 B lymphocyte	CL:0000965
Bm3 B-cell	CL:0000965
Bm3 B-lymphocyte	CL:0000965
Bm3-delta B cell	CL:0000963
Bm3-delta B lymphocyte	CL:0000963
Bm3-delta B-cell	CL:0000963
Bm3-delta B-lymphocyte	CL:0000963
Bm4 B cell	CL:0000966
Bm4 B lymphocyte	CL:0000966
Bm4 B-cell	CL:0000966
Bm4 B-lymphocyte	CL:0000966
Bm5 B cell	CL:0000967
Bm5 B lymphocyte	CL:0000967
Bm5 B-cell	CL:0000967
Bm5 B-lymphocyte	CL:0000967
Boettcher cell	CL:0002084
