Iteration	Fold	Weighted accuracy	Unweighted accuracy
0	0	0.8544152744630071	0.8526315789473684
0	1	0.7534693877551021	0.8677248677248677
0	2	0.8687727825030377	0.8526315789473684
0	3	0.8792270531400966	0.8770053475935828
0	4	0.8053763440860215	0.8571428571428571
0	5	0.8002136752136753	0.7967914438502673
0	6	0.8129722921914357	0.8594594594594595
0	7	0.8455730954015099	0.8457446808510638
0	8	0.8587819947043248	0.8186813186813187
0	9	0.8285181733457595	0.8773006134969326
1	0	0.8133198789101918	0.8631578947368421
1	1	0.5503062117235346	0.8415300546448088
1	2	0.6816479400749064	0.8412698412698413
1	3	0.8536009445100354	0.8783068783068783
1	4	0.9698097601323408	0.8279569892473119
1	5	0.9121338912133892	0.8674033149171271
1	6	0.895959595959596	0.8776595744680851
1	7	0.7992307692307692	0.8457446808510638
1	8	0.9417535254445125	0.88268156424581
1	9	0.7948571428571428	0.7941176470588235
2	0	0.8764940239043825	0.8804347826086957
2	1	0.8597464342313788	0.9021739130434783
2	2	0.8072502210433244	0.8670212765957447
2	3	0.8960205391527599	0.8722222222222222
2	4	0.7321772639691715	0.8148148148148148
2	5	0.7382230172927847	0.824468085106383
2	6	0.7709844559585493	0.8031914893617021
2	7	0.8609904430929627	0.8609625668449198
2	8	0.892136681762042	0.851063829787234
2	9	0.8828193832599119	0.8682634730538922
3	0	0.6524633821571239	0.7967914438502673
3	1	0.74079874706343	0.8518518518518519
3	2	0.7918340026773761	0.8473684210526315
3	3	0.8994668697638994	0.8157894736842105
3	4	0.9171597633136095	0.8626373626373627
3	5	0.8351012536162006	0.824468085106383
3	6	0.9222520107238605	0.8972972972972973
3	7	0.8753229974160207	0.8877005347593583
3	8	0.9507972665148063	0.8693181818181818
3	9	0.675764192139738	0.9230769230769231
4	0	0.7429305912596401	0.8421052631578947
4	1	0.8418657565415245	0.8578947368421053
4	2	0.9309727471653073	0.8148148148148148
4	3	0.8830823737821081	0.8716577540106952
4	4	0.8858603066439523	0.8571428571428571
4	5	0.8701570680628272	0.8829787234042553
4	6	0.8640533778148457	0.8370786516853933
4	7	0.8410094637223975	0.8670212765957447
4	8	0.5659630606860159	0.8666666666666667
4	9	0.855072463768116	0.8780487804878049

tokseq	label	cv_label	cv_count	corpus_count	cv_predicted[0]	cv_predicted[1]
('pre-adipocytes',)	root	root	5	1	5	0
('3T3-L1', 'pre-adipocytes')	root	root	5	1	5	0
('Adelta-nociceptors',)	root	root	3	1	3	2
('cell',)	root	root	5	3465	5	0
('B', 'cell')	root	root	5	132	5	0
('B-cell',)	root	root	5	16	5	0
('B-cells',)	root	root	5	18	5	0
('B-lympho',)	root	role	3	1	0	5
('B-lymphoblast',)	root	None	0	0	0	0
('B-lymphocyte',)	root	None	0	0	0	0
('B.cells',)	root	root	5	1	5	0
('D-cell',)	root	None	0	0	0	0
('GM-macrophage',)	root	root	5	1	5	0
('M-astrocyte',)	root	root	5	1	5	0
('M-cell',)	root	None	0	0	0	0
('M1-macrophages',)	root	root	3	1	3	2
('MPhi',)	root	molecular signaling	5	3	0	5
('Mast.cells.resting',)	root	root	5	1	5	0
('PBMC',)	root	root	5	1	5	0
('PBMCs',)	root	root	5	1	5	0
('Pan-macrophage',)	root	root	5	1	5	0
('Pre-chondrocytes',)	root	root	5	1	5	0
('Pre-osteoblasts',)	root	root	5	1	5	0
('Pre-osteoclasts',)	root	root	5	1	5	0
('RBC',)	root	root	5	2	5	0
('S-cone',)	root	root	5	1	5	0
('S-cones',)	root	root	5	1	5	0
('T', 'cell')	root	root	5	417	5	0
('lymphocyte',)	root	root	5	46	5	0
('T', 'lymphocyte')	root	root	5	17	5	0
('T-cell',)	root	root	5	34	5	0
('T-cells',)	root	root	5	39	5	0
('T-lymphoblast',)	root	None	0	0	0	0
('T-lymphocyte',)	root	root	5	3	5	0
('T-lymphocytes',)	root	root	5	6	5	0
('VSMC',)	root	root	5	1	5	0
('adipocyte',)	root	root	5	28	5	0
('aerocyte',)	root	root	5	2	5	0
('alpha-cell',)	root	root	5	1	5	0
('alveolocyte',)	root	None	0	0	0	0
('ameloblast',)	root	root	5	5	5	0
('amelocyte',)	root	None	0	0	0	0
('amniocyte',)	root	None	0	0	0	0
('angioblast',)	root	root	5	2	5	0
('arthroconidium',)	root	None	0	0	0	0
('ascospore',)	root	None	0	0	0	0
('astrocyte',)	root	root	5	42	5	0
('astroglia',)	root	lineage	5	1	0	5
('basidiospore',)	root	None	0	0	0	0
('basophil',)	root	root	5	6	5	0
('beta-cell',)	root	root	5	1	5	0
('beta-cells',)	root	root	5	2	5	0
('beta1-tanycyte',)	root	None	0	0	0	0
('beta2-tanycyte',)	root	None	0	0	0	0
('blast',)	root	lineage	5	14	0	5
('blastconidium',)	root	None	0	0	0	0
('blastoconidium',)	root	None	0	0	0	0
('blastomere',)	root	root	5	10	5	0
('cardioblast',)	root	None	0	0	0	0
('cardiocyte',)	root	None	0	0	0	0
('cardiomyocyte',)	root	root	5	9	5	0
('cell-types',)	root	root	5	1	5	0
('cementoblast',)	root	root	5	1	5	0
('cementocyte',)	root	None	0	0	0	0
('centroblast',)	root	None	0	0	0	0
('centrocyte',)	root	None	0	0	0	0
('chemoreceptor',)	root	molecular signaling	4	1	1	4
('chlamydospore',)	root	None	0	0	0	0
('cholangiocyte',)	root	root	5	4	5	0
('chondroblast',)	root	root	5	2	5	0
('chondrocyte',)	root	root	5	20	5	0
('chondroplast',)	root	None	0	0	0	0
('chondroprogenitor',)	root	root	5	1	5	0
('chordablast',)	root	None	0	0	0	0
('chordoblast',)	root	None	0	0	0	0
('chromatocyte',)	root	None	0	0	0	0
('chromatophore',)	root	None	0	0	0	0
('chromophobe',)	root	None	0	0	0	0
('chrondoplast',)	root	None	0	0	0	0
('cnidoblast',)	root	None	0	0	0	0
('cnidocyte',)	root	None	0	0	0	0
('coelomocyte',)	root	None	0	0	0	0
('colonocyte',)	root	root	5	4	5	0
('condrocyte',)	root	root	5	1	5	0
('cone',)	root	appearance	5	22	0	5
('conidium',)	root	None	0	0	0	0
('corneocyte',)	root	root	5	2	5	0
('corpuscle',)	root	root	5	1	5	0
('corticotrope',)	root	molecular signaling	5	6	0	5
('corticotroph',)	root	molecular signaling	5	3	0	5
('crypt',)	root	appearance	5	7	0	5
('cyanoblast',)	root	None	0	0	0	0
('cyanophore',)	root	None	0	0	0	0
('cystoblast',)	root	None	0	0	0	0
('cytotrophloblast',)	root	None	0	0	0	0
('cytotrophoblast',)	root	root	5	11	5	0
('delta-cells',)	root	root	5	3	5	0
('dikaryon',)	root	None	0	0	0	0
('discocyte',)	root	root	5	1	5	0
('echinocyte',)	root	None	0	0	0	0
('egg',)	root	developmental	5	2	0	5
('endocrinocyte',)	root	None	0	0	0	0
('endospore',)	root	None	0	0	0	0
('endothelial-progenitors',)	root	lineage	5	1	0	5
('endotheliocyte',)	root	None	0	0	0	0
('enrythroblast',)	root	None	0	0	0	0
('enterocyte',)	root	root	5	16	5	0
('eosinocyte',)	root	None	0	0	0	0
('eosinophil',)	root	root	5	5	5	0
('ependymocyte',)	root	root	5	2	5	0
('epidermoblast',)	root	None	0	0	0	0
('epitheliocyte',)	root	None	0	0	0	0
('erythoblast',)	root	root	5	1	5	0
('erythroblast',)	root	root	5	16	5	0
('erythrocyte',)	root	root	5	7	5	0
('erythrophore',)	root	None	0	0	0	0
('fiber',)	root	appearance	5	9	0	5
('fibroblast',)	root	lineage	5	121	0	5
('fibrochondrocyte',)	root	root	5	3	5	0
('fibrocyte',)	root	root	5	3	5	0
('fibromyocyte',)	root	root	5	1	5	0
('gamete',)	root	root	5	2	5	0
('gangliocyte',)	root	None	0	0	0	0
('glia',)	root	lineage	5	30	0	5
('glioblast',)	root	root	5	1	5	0
('gonadotrope',)	root	root	5	5	5	0
('gonadotroph',)	root	root	5	2	5	0
('gonadtroph',)	root	None	0	0	0	0
('gonocyte',)	root	root	5	1	5	0
('granular-macrophage',)	root	root	5	1	5	0
('granulocyte',)	root	root	5	16	5	0
('hemangioblast',)	root	root	5	2	5	0
('hemocyte',)	root	None	0	0	0	0
('hepatoblast',)	root	root	5	1	5	0
('hepatocyte',)	root	root	5	10	5	0
('heterokaryon',)	root	root	5	1	5	0
('histaminocyte',)	root	None	0	0	0	0
('histiocyte',)	root	None	0	0	0	0
('histoblast',)	root	None	0	0	0	0
('histocyte',)	root	None	0	0	0	0
('huvec',)	root	root	5	3	5	0
('hyalocyte',)	root	root	5	1	5	0
('hypoblast',)	root	root	5	1	5	0
('iMonocytes',)	root	root	5	1	5	0
('iTrophoblast',)	root	None	0	0	0	0
('iTrophoblasts',)	root	None	0	0	0	0
('immunocyte',)	root	None	0	0	0	0
('imonocyte',)	root	None	0	0	0	0
('interneuron',)	root	root	5	45	5	0
('ionocyte',)	root	root	5	3	5	0
('iridoblast',)	root	None	0	0	0	0
('keratinocyte',)	root	lineage	5	24	0	5
('keratocyte',)	root	root	5	7	5	0
('labrocyte',)	root	None	0	0	0	0
('lactocyte',)	root	root	5	1	5	0
('lactotrope',)	root	molecular signaling	5	4	0	5
('lactotroph',)	root	root	5	3	5	0
('lamellocyte',)	root	None	0	0	0	0
('leucoblast',)	root	None	0	0	0	0
('leucocyte',)	root	root	5	6	5	0
('leucophore',)	root	None	0	0	0	0
('leukocyte',)	root	root	5	21	5	0
('lipofibroblast',)	root	root	5	3	5	0
('lipophage',)	root	None	0	0	0	0
('lymphangioblast',)	root	None	0	0	0	0
('lymphoblast',)	root	root	5	3	5	0
('mB-cells',)	root	root	5	1	5	0
('macroconidium',)	root	None	0	0	0	0
('macrocyte',)	root	None	0	0	0	0
('macroglia',)	root	appearance	5	1	0	5
('macrogliocyte',)	root	None	0	0	0	0
('macrophage',)	root	root	5	227	5	0
('macrophagocytus',)	root	None	0	0	0	0
('mammosomatotroph',)	root	None	0	0	0	0
('mammotrope',)	root	None	0	0	0	0
('mammotroph',)	root	None	0	0	0	0
('mastocyte',)	root	root	5	1	5	0
('mechanoceptor',)	root	None	0	0	0	0
('mechanoreceptor',)	root	root	5	2	5	0
('megacaryoblast',)	root	None	0	0	0	0
('megacaryocyte',)	root	None	0	0	0	0
('megakaryoblast',)	root	None	0	0	0	0
('megakaryocyte',)	root	root	5	10	5	0
('megalocaryocyte',)	root	None	0	0	0	0
('megalocyte',)	root	None	0	0	0	0
('megalokaryocyte',)	root	None	0	0	0	0
('meiocyte',)	root	None	0	0	0	0
('melanoblast',)	root	root	5	2	5	0
('melanocyte',)	root	root	5	12	5	0
('melanophage',)	root	None	0	0	0	0
('melanophore',)	root	None	0	0	0	0
('melanotrope',)	root	root	5	2	5	0
('melanotroph',)	root	root	5	3	5	0
('mesoblast',)	root	None	0	0	0	0
('mesotheliocyte',)	root	None	0	0	0	0
('metamyelocyte',)	root	root	5	3	5	0
('microconidium',)	root	None	0	0	0	0
('microglia',)	root	root	5	41	5	0
('microgliocyte',)	root	None	0	0	0	0
('monoblast',)	root	root	5	1	5	0
('monocyte',)	root	root	5	86	5	0
('motoneuron',)	root	root	5	6	5	0
('neuron',)	root	root	5	299	5	0
('motor', 'neuron')	root	root	5	11	5	0
('motorneuron',)	root	None	0	0	0	0
('muscle',)	anatomical	lineage	3	26	2	3
('muscle', 'fiber')	root	root	5	4	5	0
('myeloblast',)	root	root	5	4	5	0
('myelocyte',)	root	root	5	6	5	0
('myoblast',)	root	root	5	6	5	0
('myocyte',)	root	root	5	11	5	0
('nodalis',)	anatomical	None	0	0	0	0
('myocytus', 'nodalis')	root	None	0	0	0	0
('myoepitheliocyte',)	root	None	0	0	0	0
('myofiber',)	root	root	5	3	5	0
('myofibril',)	root	None	0	0	0	0
('myofibroblast',)	root	root	5	20	5	0
('myotube',)	root	root	5	2	5	0
('nematoblast',)	root	None	0	0	0	0
('nematocyte',)	root	None	0	0	0	0
('nephrocyte',)	root	root	5	3	5	0
('neuro-glioblast',)	root	None	0	0	0	0
('neuroblast',)	root	root	4	10	4	1
('neurocyte',)	root	root	5	2	5	0
('neuroglia',)	root	lineage	4	2	1	4
('neuroglioblast',)	root	None	0	0	0	0
('neurolemmocyte',)	root	None	0	0	0	0
('neutrocyte',)	root	None	0	0	0	0
('neutrophil',)	root	lineage	5	40	0	5
('nm-cone',)	root	None	0	0	0	0
('nociceptor',)	root	role	3	4	2	3
('nocireceptor',)	root	None	0	0	0	0
('normoblast',)	root	root	5	4	5	0
('nuocyte',)	root	None	0	0	0	0
('odontoblast',)	root	root	5	3	5	0
('odontoclast',)	root	None	0	0	0	0
('odontocyte',)	root	None	0	0	0	0
('oenocyte',)	root	None	0	0	0	0
('oligodendrocyte',)	root	root	5	35	5	0
('oligodendrocyteprecursor',)	root	root	5	1	5	0
('oligodendroglia',)	root	root	5	1	5	0
('oncocyte',)	root	None	0	0	0	0
('onychocyte',)	root	None	0	0	0	0
('ooblast',)	root	None	0	0	0	0
('oocyte',)	root	root	5	19	5	0
('oogonia',)	root	root	5	1	5	0
('oospore',)	root	None	0	0	0	0
('osteoblast',)	root	root	5	9	5	0
('osteoclast',)	root	root	5	13	5	0
('osteoclast-like',)	root	root	5	1	5	0
('osteocyte',)	root	root	5	5	5	0
('osteoprogenitor',)	root	root	5	4	5	0
('ovum',)	root	None	0	0	0	0
('pMonocytes',)	root	root	5	1	5	0
('pbmc',)	root	None	0	0	0	0
('pcpMacrophages',)	root	appearance	5	1	0	5
('pericyte',)	root	root	5	29	5	0
('phaeochromocyte',)	root	None	0	0	0	0
('phagocyte',)	root	root	5	8	5	0
('photoreceptor',)	root	root	5	15	5	0
('photorecetpor',)	root	root	3	1	3	2
('pinealocyte',)	root	None	0	0	0	0
('pituicyte',)	root	root	5	1	5	0
('plasmablast',)	root	root	5	5	5	0
('plasmacyte',)	root	None	0	0	0	0
('plasmatocyte',)	root	None	0	0	0	0
('plasmocyte',)	root	root	5	1	5	0
('platelet',)	root	root	5	9	5	0
('pmn',)	root	None	0	0	0	0
('pmonocyte',)	root	None	0	0	0	0
('pneumocyte',)	root	root	5	6	5	0
('pneumonocyte',)	root	None	0	0	0	0
('podocyte',)	root	root	5	5	5	0
('pre-adipocyte',)	root	None	0	0	0	0
('pre-ameloblast',)	root	None	0	0	0	0
('pre-cementoblast',)	root	None	0	0	0	0
('pre-chondroblast',)	root	None	0	0	0	0
('pre-chondrocyte',)	root	None	0	0	0	0
('pre-chondrocytes',)	root	None	0	0	0	0
('pre-cursor',)	root	None	0	0	0	0
('pre-fibroblasts',)	root	root	5	1	5	0
('pre-myelocyte',)	root	None	0	0	0	0
('pre-odontoblasts',)	root	None	0	0	0	0
('pre-oligodendrocyte',)	root	None	0	0	0	0
('pre-oligodendrocytes',)	root	None	0	0	0	0
('pre-osteoblast',)	root	root	5	1	5	0
('pre-osteoblasts',)	root	root	5	1	5	0
('pre-osteoclast',)	root	root	5	1	5	0
('pre-plasmablast',)	root	None	0	0	0	0
('pre-spermatogonia',)	root	None	0	0	0	0
('preadipocyte',)	root	root	5	4	5	0
('preameloblast',)	root	None	0	0	0	0
('precementoblast',)	root	None	0	0	0	0
('prechondroblast',)	root	None	0	0	0	0
('prechondrocyte',)	root	None	0	0	0	0
('premyelocyte',)	root	None	0	0	0	0
('preodontoblast',)	root	root	5	1	5	0
('preoligodendrocyte',)	root	root	5	1	5	0
('preosteoblast',)	root	root	5	2	5	0
('preosteoclast',)	root	developmental	3	1	2	3
('preplasmablast',)	root	root	5	1	5	0
('prespermatogonia',)	root	eponym	5	1	0	5
('pressoreceptor',)	root	None	0	0	0	0
('pro-B-cell',)	root	None	0	0	0	0
('pro-B-lymphocyte',)	root	None	0	0	0	0
('proerythroblast',)	root	root	5	4	5	0
('progranulocyte',)	root	None	0	0	0	0
('prohemocyte',)	root	None	0	0	0	0
('promonocyte',)	root	None	0	0	0	0
('promyelocyte',)	root	root	5	3	5	0
('proprioceptor',)	root	root	5	1	5	0
('prorubricyte',)	root	None	0	0	0	0
('prospermatogonia',)	root	eponym	5	2	0	5
('protoplast',)	root	None	0	0	0	0
('pruriceptor',)	root	appearance	4	2	0	5
('pyrenocyte',)	root	root	5	1	5	0
('rbc',)	root	None	0	0	0	0
('reticulocyte',)	root	root	5	7	5	0
('retinoblast',)	root	None	0	0	0	0
('rod',)	root	appearance	5	14	0	5
('rubriblast',)	root	None	0	0	0	0
('rubricyte',)	root	None	0	0	0	0
('scleroblast',)	root	None	0	0	0	0
('sebocyte',)	root	root	5	4	5	0
('somatotrope',)	root	molecular signaling	3	6	2	3
('somatotroph',)	root	molecular signaling	5	2	0	5
('sperm',)	root	root	5	5	5	0
('spermatid',)	root	root	5	10	5	0
('spermatocyte',)	root	root	5	13	5	0
('spermatogonia',)	root	root	5	15	5	0
('spermatogonium',)	root	root	5	1	5	0
('spermatozoa',)	root	root	5	3	5	0
('spermatozoid',)	root	None	0	0	0	0
('spermatozoon',)	root	root	5	1	5	0
('sphaeroplast',)	root	None	0	0	0	0
('spheroplast',)	root	None	0	0	0	0
('spiral',)	appearance	appearance	5	1	5	0
('artery',)	anatomical	anatomical	5	2	5	0
('trophoblast',)	root	lineage	5	51	0	5
('spiral', 'artery', 'trophoblast')	root	lineage	5	1	0	5
('splenocyte',)	root	root	5	3	5	0
('spongioblast',)	root	None	0	0	0	0
('spongiotrophoblast',)	root	root	5	4	5	0
('spore',)	root	None	0	0	0	0
('stomatocyte',)	root	root	5	1	5	0
('sub-progenitors',)	root	developmental	5	1	0	5
('sustentaculocyte',)	root	None	0	0	0	0
('sympathoblast',)	root	root	5	1	5	0
('syncytiotrophoblast',)	root	root	5	3	5	0
('syncytiotrophoblast', 'cell')	root	root	5	2	5	0
('syncytiotrophoblast-II',)	root	root	5	1	5	0
('syncytiotrophoblastcell',)	root	None	0	0	0	0
('syncytium',)	root	None	0	0	0	0
('synoviocyte',)	root	root	5	4	5	0
('t-cells',)	root	root	5	7	5	0
('tanycyte',)	root	root	5	3	5	0
('tconv',)	root	molecular signature	3	8	2	3
('telocyte',)	root	root	5	1	5	0
('teloglia',)	root	None	0	0	0	0
('tenocyte',)	root	root	5	4	5	0
('thermoreceptor',)	root	None	0	0	0	0
('thromboblast',)	root	None	0	0	0	0
('thrombocyte',)	root	root	5	1	5	0
('thymocyte',)	root	root	5	26	5	0
('thyrocyte',)	root	root	5	2	5	0
('thyrotrope',)	root	molecular signaling	5	3	0	5
('thyrotroph',)	root	root	5	2	5	0
('trabeculocyte',)	root	None	0	0	0	0
('tracheoblast',)	root	None	0	0	0	0
('tracheocyte',)	root	None	0	0	0	0
('treg',)	root	root	5	48	5	0
('trichocyte',)	root	None	0	0	0	0
('xanthoblast',)	root	None	0	0	0	0
('zygospore',)	root	None	0	0	0	0
('zygote',)	root	root	5	1	5	0
