filter	value	motif	Epithelial	Endothelial	Mesenchymal/stromal	Muscle	Hematopoietic	Neuronal	Glial	Stem/progenitor	Germ line	Trophoblast/placental	Other
cell_phenotype(exact)	k_count	root	608.1666666666667	151.5	251.16666666666666	91.0	1442.1666666666663	509.8333333333332	104.16666666666666	320.0	95.0	81.0	81.0
cell_phenotype(exact)	k_count	anatomical	405.5	136.0	134.5	64.0	257.0	212.5	35.0	142.0	4.0	34.5	54.0
cell_phenotype(exact)	k_count	lineage	213.5	159.0	61.5	4.0	237.66666666666669	35.16666666666667	29.166666666666668	171.0	27.0	25.0	10.0
cell_phenotype(exact)	k_count	developmental	65.66666666666666	1.0	31.166666666666668	8.0	265.83333333333337	69.5	13.333333333333332	247.0	48.0	24.5	7.0
cell_phenotype(exact)	k_count	appearance	158.33333333333331	21.5	42.83333333333333	11.0	194.83333333333331	163.66666666666666	8.833333333333332	5.0	6.0	13.0	10.0
cell_phenotype(exact)	k_count	role	29.0	2.0	7.0	6.0	413.5	73.5	0	4.0	13.0	2.0	17.0
cell_phenotype(exact)	k_count	variant	82.5	17.0	7.0	8.0	297.33333333333337	35.83333333333333	4.833333333333334	8.0	7.0	1.5	1.0
cell_phenotype(exact)	k_count	molecular signaling	44.5	7.0	6.0	2.0	92.5	114.5	6.0	6.0	4.0	4.5	4.0
cell_phenotype(exact)	k_count	molecular signature	24.5	1.0	8.0	2.0	550.3333333333333	33.83333333333333	3.333333333333333	6.0	0	0	0
cell_phenotype(exact)	k_count	eponym	28.0	3.0	4.0	2.0	31.666666666666668	21.666666666666664	33.66666666666667	11.0	0	3.0	0
cell_phenotype(exact)	k_count	species	10.0	18.0	5.0	6.0	16.333333333333332	5.333333333333333	4.333333333333333	28.0	13.0	2.0	2.0
cell_phenotype(exact)	k_count	state	12.5	2.0	7.0	3.0	306.50000000000006	17.000000000000004	5.0	12.0	2.0	1.0	0
cell_phenotype(exact)	k_count	disease	7.5	8.0	5.0	1.0	43.5	7.5	0	5.0	0	5.5	2.0
cell_phenotype(exact)	k_count	stimulus	0	0	0	0	1.0	4.0	0	0	0	0	0
cell_phenotype(exact)	k_count	unknown token	44.5	2.0	8.5	2.0	113.83333333333334	16.333333333333332	2.333333333333333	9.0	2.0	2.5	1.0
filter	value	motif	Epithelial	Endothelial	Mesenchymal/stromal	Muscle	Hematopoietic	Neuronal	Glial	Stem/progenitor	Germ line	Trophoblast/placental	Other
cell_phenotype(exact)	rate	root	0.35069678039404134	0.28638941398865786	0.4340437788018433	0.43333333333333335	0.33821919949968726	0.3861886125489206	0.4166666666666666	0.32854209445585214	0.4298642533936652	0.405	0.42857142857142855
cell_phenotype(exact)	rate	anatomical	0.23382988947621336	0.2570888468809074	0.2324308755760369	0.3047619047619048	0.0602720450281426	0.16096452468122716	0.13999999999999999	0.1457905544147844	0.01809954751131222	0.1725	0.2857142857142857
cell_phenotype(exact)	rate	lineage	0.12311388755406054	0.3005671077504726	0.10627880184331798	0.01904761904761905	0.055737961225766124	0.026638050751167795	0.11666666666666665	0.175564681724846	0.12217194570135746	0.125	0.05291005291005291
cell_phenotype(exact)	rate	developmental	0.037866410379625175	0.001890359168241966	0.0538594470046083	0.0380952380952381	0.062343652282676694	0.05264486807221312	0.05333333333333332	0.2535934291581109	0.2171945701357466	0.1225	0.037037037037037035
cell_phenotype(exact)	rate	appearance	0.09130225852955308	0.04064272211720227	0.07402073732718893	0.05238095238095238	0.04569262038774234	0.12397424567605103	0.03533333333333333	0.00513347022587269	0.027149321266968326	0.065	0.05291005291005291
cell_phenotype(exact)	rate	role	0.01672272945699183	0.003780718336483932	0.012096774193548388	0.02857142857142857	0.09697467166979364	0.055674788536800926	0.0	0.004106776180698152	0.058823529411764705	0.01	0.08994708994708994
cell_phenotype(exact)	rate	variant	0.04757328207592503	0.03213610586011342	0.012096774193548388	0.0380952380952381	0.0697310819262039	0.027143037495265754	0.019333333333333334	0.008213552361396304	0.03167420814479638	0.0075	0.005291005291005291
cell_phenotype(exact)	rate	molecular signaling	0.025660740028832292	0.013232514177693762	0.010368663594470046	0.009523809523809525	0.021693245778611637	0.08673147329882593	0.023999999999999997	0.006160164271047228	0.01809954751131222	0.0225	0.021164021164021163
cell_phenotype(exact)	rate	molecular signature	0.014127823161941373	0.001890359168241966	0.013824884792626729	0.009523809523809525	0.12906504065040653	0.025628077262971852	0.01333333333333333	0.006160164271047228	0.0	0.0	0.0
cell_phenotype(exact)	rate	eponym	0.016146083613647284	0.005671077504725898	0.0069124423963133645	0.009523809523809525	0.007426516572858038	0.016412069183183945	0.13466666666666666	0.011293634496919919	0.0	0.015	0.0
cell_phenotype(exact)	rate	species	0.005766458433445459	0.034026465028355386	0.008640552995391706	0.02857142857142857	0.003830519074421514	0.00403989395278374	0.01733333333333333	0.028747433264887063	0.058823529411764705	0.01	0.010582010582010581
cell_phenotype(exact)	rate	state	0.007208073041806823	0.003780718336483932	0.012096774193548388	0.014285714285714285	0.07188086303939965	0.012877161974498176	0.019999999999999997	0.012320328542094456	0.00904977375565611	0.005	0.0
cell_phenotype(exact)	rate	disease	0.004324843825084094	0.015122873345935728	0.008640552995391706	0.004761904761904762	0.010201688555347093	0.005681100871102135	0.0	0.00513347022587269	0.0	0.0275	0.010582010582010581
cell_phenotype(exact)	rate	stimulus	0.0	0.0	0.0	0.0	0.00023452157598499067	0.0030299204645878055	0.0	0.0	0.0	0.0	0.0
cell_phenotype(exact)	rate	unknown token	0.025660740028832292	0.003780718336483932	0.0146889400921659	0.009523809523809525	0.026696372732958107	0.012372175230400205	0.00933333333333333	0.009240246406570842	0.00904977375565611	0.0125	0.005291005291005291
filter	value	motif	Epithelial	Endothelial	Mesenchymal/stromal	Muscle	Hematopoietic	Neuronal	Glial	Stem/progenitor	Germ line	Trophoblast/placental	Other
cell_phenotype(exact)	comp_rate	root	0.3567335243553006	0.3567335243553006	0.3567335243553006	0.3567335243553006	0.3567335243553006	0.3567335243553006	0.3567335243553006	0.3567335243553006	0.3567335243553006	0.3567335243553006	0.3567335243553006
cell_phenotype(exact)	comp_rate	anatomical	0.1412607449856733	0.1412607449856733	0.1412607449856733	0.1412607449856733	0.1412607449856733	0.1412607449856733	0.1412607449856733	0.1412607449856733	0.1412607449856733	0.1412607449856733	0.1412607449856733
cell_phenotype(exact)	comp_rate	lineage	0.09293218720152811	0.09293218720152811	0.09293218720152811	0.09293218720152811	0.09293218720152811	0.09293218720152811	0.09293218720152811	0.09293218720152811	0.09293218720152811	0.09293218720152811	0.09293218720152811
cell_phenotype(exact)	comp_rate	developmental	0.07459407831900665	0.07459407831900665	0.07459407831900665	0.07459407831900665	0.07459407831900665	0.07459407831900665	0.07459407831900665	0.07459407831900665	0.07459407831900665	0.07459407831900665	0.07459407831900665
cell_phenotype(exact)	comp_rate	appearance	0.06064947468958927	0.06064947468958927	0.06064947468958927	0.06064947468958927	0.06064947468958927	0.06064947468958927	0.06064947468958927	0.06064947468958927	0.06064947468958927	0.06064947468958927	0.06064947468958927
cell_phenotype(exact)	comp_rate	role	0.05415472779369625	0.05415472779369625	0.05415472779369625	0.05415472779369625	0.05415472779369625	0.05415472779369625	0.05415472779369625	0.05415472779369625	0.05415472779369625	0.05415472779369625	0.05415472779369625
cell_phenotype(exact)	comp_rate	variant	0.044890162368672375	0.044890162368672375	0.044890162368672375	0.044890162368672375	0.044890162368672375	0.044890162368672375	0.044890162368672375	0.044890162368672375	0.044890162368672375	0.044890162368672375	0.044890162368672375
cell_phenotype(exact)	comp_rate	molecular signaling	0.027793696275071618	0.027793696275071618	0.027793696275071618	0.027793696275071618	0.027793696275071618	0.027793696275071618	0.027793696275071618	0.027793696275071618	0.027793696275071618	0.027793696275071618	0.027793696275071618
cell_phenotype(exact)	comp_rate	molecular signature	0.060076408787010475	0.060076408787010475	0.060076408787010475	0.060076408787010475	0.060076408787010475	0.060076408787010475	0.060076408787010475	0.060076408787010475	0.060076408787010475	0.060076408787010475	0.060076408787010475
cell_phenotype(exact)	comp_rate	eponym	0.013180515759312315	0.013180515759312315	0.013180515759312315	0.013180515759312315	0.013180515759312315	0.013180515759312315	0.013180515759312315	0.013180515759312315	0.013180515759312315	0.013180515759312315	0.013180515759312315
cell_phenotype(exact)	comp_rate	species	0.010506208213944598	0.010506208213944598	0.010506208213944598	0.010506208213944598	0.010506208213944598	0.010506208213944598	0.010506208213944598	0.010506208213944598	0.010506208213944598	0.010506208213944598	0.010506208213944598
cell_phenotype(exact)	comp_rate	state	0.03514804202483284	0.03514804202483284	0.03514804202483284	0.03514804202483284	0.03514804202483284	0.03514804202483284	0.03514804202483284	0.03514804202483284	0.03514804202483284	0.03514804202483284	0.03514804202483284
cell_phenotype(exact)	comp_rate	disease	0.008118433619866281	0.008118433619866281	0.008118433619866281	0.008118433619866281	0.008118433619866281	0.008118433619866281	0.008118433619866281	0.008118433619866281	0.008118433619866281	0.008118433619866281	0.008118433619866281
cell_phenotype(exact)	comp_rate	stimulus	0.00047755491881566357	0.00047755491881566357	0.00047755491881566357	0.00047755491881566357	0.00047755491881566357	0.00047755491881566357	0.00047755491881566357	0.00047755491881566357	0.00047755491881566357	0.00047755491881566357	0.00047755491881566357
cell_phenotype(exact)	comp_rate	unknown token	0.019484240687679077	0.019484240687679077	0.019484240687679077	0.019484240687679077	0.019484240687679077	0.019484240687679077	0.019484240687679077	0.019484240687679077	0.019484240687679077	0.019484240687679077	0.019484240687679077
filter	value	motif	Epithelial	Endothelial	Mesenchymal/stromal	Muscle	Hematopoietic	Neuronal	Glial	Stem/progenitor	Germ line	Trophoblast/placental	Other
cell_phenotype(exact)	pvalue	root	0.6161593658248663	0.0007734997548080728	0.00015579519379005553	0.02528799788706687	0.011544926274704215	0.02505010303133598	0.05540419476530779	0.07085147676788545	0.024669813852469864	0.1609767605256191	0.0405688464675075
cell_phenotype(exact)	pvalue	anatomical	7.148825850481324e-25	2.1959824495506187e-12	7.507110683381782e-09	1.080644790521324e-09	1.4876726412278638e-63	0.04805689066013663	1.0	0.6788682523140295	3.83701389450457e-10	0.26309682819700136	2.8865356294195446e-07
cell_phenotype(exact)	pvalue	lineage	2.8341139845971024e-05	2.57658200575855e-41	0.25151458800187726	2.370061306938635e-05	4.646232787705833e-19	6.92529129377355e-22	0.22928773221084736	1.2074110167617499e-15	0.13230073381399832	0.14194633939977735	0.05957547272756992
cell_phenotype(exact)	pvalue	developmental	3.1120016051835967e-10	1.583433320916231e-16	0.057132139700346016	0.04732690529762108	0.0021972407425421272	0.0023309471674539863	0.2267028416497086	1.5526193979890698e-65	1.7817613606996712e-11	0.0210933875758702	0.05127020654004011
